supplier_id,total_pos,otif_rate,on_time_rate,in_full_rate,avg_delay,avg_actual_lt,std_actual_lt,total_incidents,critical_incidents,major_incidents,total_scrap,num_parts,num_class_a,avg_unit_cost,otif_score,delay_score,quality_score,exposure_score,risk_index
SUP017,1306,0.5344563552833078,0.5872894333843798,0.9058192955589587,0.12633996937212863,28.998468606431853,7.2001488350524046,11,2,2,14,12,0,1242.0183333333334,18.62174578866769,0.25267993874425726,14,0,32.9
SUP035,699,0.5178826895565093,0.5622317596566524,0.9213161659513591,0.25894134477825465,33.2689556509299,6.3235853076185755,3,1,1,15,7,1,1557.6657142857143,19.284692417739628,0.5178826895565093,7,3,29.8
SUP022,730,0.5013698630136987,0.5506849315068493,0.9164383561643835,0.2547945205479452,25.926027397260274,7.753932183512996,6,1,2,7,7,0,2962.6342857142854,19.945205479452053,0.5095890410958904,9,0,29.5
SUP007,831,0.4897713598074609,0.5318892900120337,0.9253910950661853,0.3935018050541516,34.80264741275572,4.980641340578966,2,0,1,2,9,2,1730.2533333333333,20.409145607701564,0.7870036101083032,2,6,29.2
SUP029,684,0.5292397660818714,0.5730994152046783,0.9239766081871345,0.2222222222222222,41.79970760233918,7.2380117414947085,7,0,3,7,8,1,1416.1412500000001,18.830409356725145,0.4444444444444444,6,3,28.3
SUP031,803,0.5118306351183064,0.5566625155666252,0.9215442092154421,0.3138231631382316,37.78455790784558,8.759300615881001,4,0,1,4,9,1,1795.3533333333335,19.526774595267746,0.6276463262764632,2,3,25.2
SUP028,793,0.544766708701135,0.5889029003783102,0.9192938209331651,0.11475409836065574,26.548549810844893,5.688724985438527,9,0,1,10,8,1,1757.87375,18.2093316519546,0.22950819672131148,2,3,23.4
SUP001,659,0.5204855842185129,0.5781487101669196,0.9180576631259484,0.26707132018209406,40.701062215478,7.401851125616423,3,0,1,3,7,0,1130.21,19.180576631259484,0.5341426403641881,2,0,21.7
SUP011,565,0.5292035398230088,0.5787610619469027,0.9168141592920354,0.2849557522123894,41.309734513274336,7.768229128613557,7,0,1,7,5,0,1453.5080000000003,18.831858407079647,0.5699115044247788,2,0,21.4
SUP032,441,0.5759637188208617,0.6122448979591837,0.9478458049886621,-0.08390022675736962,29.571428571428573,6.352164985262898,5,0,2,8,5,0,1067.486,16.96145124716553,0.0,4,0,21.0
SUP020,433,0.558891454965358,0.6027713625866051,0.9330254041570438,0.04849884526558892,21.706697459584294,7.489151193276673,5,0,1,5,4,0,1822.14,17.644341801385682,0.09699769053117784,2,0,19.7
SUP004,662,0.525679758308157,0.5649546827794562,0.9229607250755287,0.256797583081571,35.47583081570997,6.820933482666737,6,0,0,6,6,0,1478.2916666666667,18.97280966767372,0.513595166163142,0,0,19.5
